W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,T,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,P,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,B,E,W
W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
